date,open,high,low,close,volume
1985-08-19,1.4331,1.4396,1.4331,1.4375,309600
1985-08-20,1.4396,1.4529,1.4375,1.4464,606000
1985-08-21,1.4485,1.4573,1.4485,1.4550,1118400
1985-08-22,1.4596,1.4640,1.4529,1.4573,2324400
1985-08-23,1.4573,1.4573,1.4464,1.4485,699600
1985-08-26,1.4529,1.4529,1.4441,1.4485,844800
1985-08-27,1.4485,1.4640,1.4485,1.4640,720000
1985-08-28,1.4640,1.4706,1.4596,1.4661,535200
1985-08-29,1.4640,1.4661,1.4550,1.4596,547200
1985-08-30,1.4596,1.4596,1.4418,1.4485,1239600
1985-09-03,1.4464,1.4506,1.4418,1.4485,446400
1985-09-04,1.4464,1.4506,1.4418,1.4485,764400
1985-09-05,1.4506,1.4506,1.4352,1.4352,943200
1985-09-06,1.4352,1.4485,1.4352,1.4464,973200
1985-09-09,1.4485,1.4485,1.4441,1.4441,476400
1985-09-10,1.4441,1.4464,1.4132,1.4132,853200
1985-09-11,1.4132,1.4153,1.3911,1.3955,1060800
1985-09-12,1.3999,1.3999,1.3690,1.3778,1204800
1985-09-13,1.3801,1.3801,1.3602,1.3711,732000
1985-09-16,1.3755,1.3822,1.3690,1.3801,841200
1985-09-17,1.3801,1.3934,1.3734,1.3934,1645200
1985-09-18,1.3934,1.3955,1.3845,1.3934,910800
1985-09-19,1.3888,1.4176,1.3888,1.4153,765600
1985-09-20,1.4220,1.4264,1.4110,1.4110,1561200
1985-09-23,1.4199,1.4264,1.4110,1.4153,1988400
1985-09-24,1.4199,1.4241,1.4132,1.4132,930000
1985-09-25,1.4153,1.4153,1.3822,1.3822,978000
1985-09-26,1.3778,1.3822,1.3690,1.3755,470400
1985-09-30,1.3801,1.3845,1.3711,1.3778,498000
1985-10-01,1.3778,1.4020,1.3690,1.4020,724800
1985-10-02,1.3976,1.4020,1.3911,1.3934,6582000
1985-10-03,1.3934,1.3976,1.3867,1.3934,8013600
1985-10-04,1.3580,1.3669,1.3536,1.3580,1802400
1985-10-07,1.3557,1.3580,1.3469,1.3513,1256400
1985-10-08,1.3513,1.3602,1.3513,1.3580,643200
1985-10-09,1.3602,1.3602,1.3536,1.3557,804000
1985-10-10,1.3602,1.3602,1.3536,1.3602,639600
1985-10-11,1.3602,1.3690,1.3557,1.3690,1561200
1985-10-14,1.3623,1.3734,1.3623,1.3734,801600
1985-10-15,1.3755,1.3801,1.3690,1.3711,1705200
1985-10-16,1.3755,1.3801,1.3646,1.3711,2095200
1985-10-17,1.3711,1.3711,1.3536,1.3557,1311600
1985-10-18,1.3580,1.3602,1.3337,1.3381,1408800
1985-10-21,1.3404,1.3490,1.3337,1.3490,1376400
1985-10-22,1.3490,1.3711,1.3446,1.3602,1194000
1985-10-23,1.3602,1.3755,1.3557,1.3755,2086800
1985-10-24,1.3734,1.3778,1.3669,1.3690,1071600
1985-10-25,1.3711,1.3711,1.3623,1.3623,1503600
1985-10-28,1.3646,1.3734,1.3602,1.3734,2907600
1985-10-29,1.3734,1.3955,1.3711,1.3888,2764800
1985-10-30,1.3845,1.3976,1.3822,1.3911,1689600
1985-10-31,1.3888,1.3911,1.3734,1.3801,1459200
1985-11-01,1.3845,1.3934,1.3734,1.3934,2229600
1985-11-04,1.3976,1.3976,1.3845,1.3911,1720800
1985-11-05,1.3867,1.3911,1.3778,1.3867,1669200
1985-11-06,1.3911,1.3934,1.3867,1.3911,3775200
1985-11-07,1.3934,1.3955,1.3845,1.3934,1792800
1985-11-08,1.3911,1.4199,1.3911,1.4132,3054000
1985-11-11,1.4132,1.4285,1.4066,1.4285,5047200
1985-11-12,1.4285,1.4441,1.4199,1.4396,3675600
1985-11-13,1.4396,1.4396,1.4264,1.4308,1036800
1985-11-14,1.4352,1.4352,1.4264,1.4308,722400
1985-11-15,1.4264,1.4331,1.4087,1.4087,3042000
1985-11-18,1.4087,1.4110,1.3976,1.4020,1593600
1985-11-19,1.4043,1.4087,1.4020,1.4087,1534800
1985-11-20,1.4087,1.4110,1.4020,1.4043,1102800
1985-11-21,1.4087,1.4132,1.4020,1.4066,2389200
1985-11-22,1.4110,1.4132,1.4066,1.4087,2419200
1985-11-25,1.4110,1.4153,1.4043,1.4087,1527600
1985-11-26,1.4132,1.4153,1.4087,1.4132,1501200
1985-11-27,1.4132,1.4176,1.4066,1.4153,2217600
1985-11-29,1.4153,1.4176,1.4020,1.4176,2308800
1985-12-02,1.4199,1.4199,1.4020,1.4043,949200
1985-12-03,1.4087,1.4110,1.3976,1.3999,1454400
1985-12-04,1.4043,1.4132,1.3999,1.4110,3840000
1985-12-05,1.4220,1.4285,1.4153,1.4241,6054000
1985-12-06,1.4220,1.4308,1.4153,1.4285,2108400
1985-12-09,1.4264,1.4441,1.4241,1.4396,2917200
1985-12-10,1.4396,1.4706,1.4396,1.4640,3139200
1985-12-11,1.4640,1.4838,1.4617,1.4815,4255200
1985-12-12,1.4794,1.4861,1.4706,1.4729,1858800
1985-12-13,1.4794,1.4948,1.4750,1.4926,2521200
1985-12-16,1.4926,1.5213,1.4926,1.5126,2856000
